PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,Deck,Title,FamilySize,IsAlone,AgeGroup,FareGroup,Sex_encoded,Embarked_encoded
915,0,1,male,21,0,1,61.3792,C,0,Unknown,Mr,2,0,Adult,VeryHigh,0,1
916,1,1,female,48,1,3,262.375,C,1,B,Mrs,5,0,MiddleAge,VeryHigh,1,1
917,0,3,male,50,1,0,14.5,S,0,Unknown,Mr,2,0,MiddleAge,High,0,0
918,1,1,female,22,0,1,61.9792,C,1,B,Miss,2,0,Adult,VeryHigh,1,1
919,0,3,male,22.5,0,0,7.225,C,0,Unknown,Mr,1,1,Adult,Low,0,1
920,0,1,male,41,0,0,30.5,S,1,A,Mr,1,1,MiddleAge,High,0,0
921,0,3,male,24,2,0,21.6792,C,0,Unknown,Mr,3,0,Adult,High,0,1
922,0,2,male,50,1,0,26,S,0,Unknown,Mr,2,0,MiddleAge,High,0,0
923,0,2,male,24,2,0,31.5,S,0,Unknown,Mr,3,0,Adult,VeryHigh,0,0
924,1,3,female,33,1,2,20.575,S,0,Unknown,Mrs,4,0,Adult,High,1,0
925,1,3,female,22,1,2,23.45,S,0,Unknown,Mrs,4,0,Adult,High,1,0
926,0,1,male,30,1,0,57.75,C,1,C,Mr,2,0,Adult,VeryHigh,0,1
927,0,3,male,18.5,0,0,7.2292,C,0,Unknown,Mr,1,1,Adult,Low,0,1
928,1,3,female,22,0,0,8.05,S,0,Unknown,Miss,1,1,Adult,Medium,1,0
929,1,3,female,21,0,0,8.6625,S,0,Unknown,Miss,1,1,Adult,Medium,1,0
930,0,3,male,25,0,0,9.5,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
931,0,3,male,24,0,0,56.4958,S,0,Unknown,Mr,1,1,Adult,VeryHigh,0,0
932,0,3,male,39,0,1,13.4167,C,0,Unknown,Mr,2,0,MiddleAge,Medium,0,1
933,0,1,male,42,0,0,26.55,S,1,D,Mr,1,1,MiddleAge,High,0,0
934,0,3,male,41,0,0,7.85,S,0,Unknown,Mr,1,1,MiddleAge,Low,0,0
935,1,2,female,30,0,0,13,S,0,Unknown,Mrs,1,1,Adult,Medium,1,0
936,1,1,female,45,1,0,52.5542,S,1,D,Mrs,2,0,MiddleAge,VeryHigh,1,0
937,0,3,male,25,0,0,7.925,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
938,0,1,male,45,0,0,29.7,C,1,A,Mr,1,1,MiddleAge,High,0,1
939,0,3,male,24,0,0,7.75,Q,0,Unknown,Mr,1,1,Adult,Low,0,2
940,1,1,female,60,0,0,76.2917,C,1,D,Mrs,1,1,MiddleAge,VeryHigh,1,1
941,1,3,female,36,0,2,15.9,S,0,Unknown,Mrs,3,0,MiddleAge,High,1,0
942,0,1,male,24,1,0,60,S,1,C,Mr,2,0,Adult,VeryHigh,0,0
943,0,2,male,27,0,0,15.0333,C,0,Unknown,Mr,1,1,Adult,High,0,1
944,1,2,female,20,2,1,23,S,0,Unknown,Miss,4,0,Adult,High,1,0
945,1,1,female,28,3,2,263,S,1,C,Miss,6,0,Adult,VeryHigh,1,0
946,0,2,male,28,0,0,15.5792,C,0,Unknown,Mr,1,1,Adult,High,0,1
947,0,3,male,10,4,1,29.125,Q,0,Unknown,Master,6,0,Child,High,0,2
948,0,3,male,35,0,0,7.8958,S,0,Unknown,Mr,1,1,Adult,Low,0,0
949,0,3,male,25,0,0,7.65,S,1,F,Mr,1,1,Adult,Low,0,0
950,0,3,male,24,1,0,16.1,S,0,Unknown,Mr,2,0,Adult,High,0,0
951,1,1,female,36,0,0,262.375,C,1,B,Miss,1,1,MiddleAge,VeryHigh,1,1
952,0,3,male,17,0,0,7.8958,S,0,Unknown,Mr,1,1,Teen,Low,0,0
953,0,2,male,32,0,0,13.5,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
954,0,3,male,18,0,0,7.75,S,0,Unknown,Mr,1,1,Teen,Low,0,0
955,1,3,female,22,0,0,7.725,Q,0,Unknown,Miss,1,1,Adult,Low,1,2
956,0,1,male,13,2,2,262.375,C,1,B,Master,5,0,Teen,VeryHigh,0,1
957,1,2,female,24,0,0,21,S,0,Unknown,Mrs,1,1,Adult,High,1,0
958,1,3,female,18,0,0,7.8792,Q,0,Unknown,Miss,1,1,Teen,Low,1,2
959,0,1,male,47,0,0,42.4,S,0,Unknown,Mr,1,1,MiddleAge,VeryHigh,0,0
960,0,1,male,31,0,0,28.5375,C,1,C,Mr,1,1,Adult,High,0,1
961,1,1,female,60,1,4,263,S,1,C,Mrs,6,0,MiddleAge,VeryHigh,1,0
962,1,3,female,24,0,0,7.75,Q,0,Unknown,Miss,1,1,Adult,Low,1,2
963,0,3,male,21,0,0,7.8958,S,0,Unknown,Mr,1,1,Adult,Low,0,0
964,1,3,female,29,0,0,7.925,S,0,Unknown,Miss,1,1,Adult,Medium,1,0
965,0,1,male,28.5,0,0,27.7208,C,1,D,Mr,1,1,Adult,High,0,1
966,1,1,female,35,0,0,211.5,C,1,C,Miss,1,1,Adult,VeryHigh,1,1
967,0,1,male,32.5,0,0,211.5,C,1,C,Mr,1,1,Adult,VeryHigh,0,1
968,0,3,male,24,0,0,8.05,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
969,1,1,female,55,2,0,25.7,S,1,C,Mrs,3,0,MiddleAge,High,1,0
970,0,2,male,30,0,0,13,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
971,1,3,female,24,0,0,7.75,Q,0,Unknown,Miss,1,1,Adult,Low,1,2
972,0,3,male,6,1,1,15.2458,C,0,Unknown,Master,3,0,Child,High,0,1
973,0,1,male,67,1,0,221.7792,S,1,C,Mr,2,0,Senior,VeryHigh,0,0
974,0,1,male,49,0,0,26,S,0,Unknown,Mr,1,1,MiddleAge,High,0,0
975,0,3,male,24,0,0,7.8958,S,0,Unknown,Mr,1,1,Adult,Low,0,0
976,0,2,male,28,0,0,10.7083,Q,0,Unknown,Mr,1,1,Adult,Medium,0,2
977,0,3,male,24,1,0,14.4542,C,0,Unknown,Mr,2,0,Adult,Medium,0,1
978,1,3,female,27,0,0,7.8792,Q,0,Unknown,Miss,1,1,Adult,Low,1,2
979,1,3,female,18,0,0,8.05,S,0,Unknown,Miss,1,1,Teen,Medium,1,0
980,1,3,female,22,0,0,7.75,Q,0,Unknown,Miss,1,1,Adult,Low,1,2
981,0,2,male,2,1,1,23,S,0,Unknown,Master,3,0,Child,High,0,0
982,1,3,female,22,1,0,13.9,S,0,Unknown,Mrs,2,0,Adult,Medium,1,0
983,0,3,male,24,0,0,7.775,S,0,Unknown,Mr,1,1,Adult,Low,0,0
984,1,1,female,27,1,2,52,S,1,B,Mrs,4,0,Adult,VeryHigh,1,0
985,0,3,male,24,0,0,8.05,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
986,0,1,male,25,0,0,26,C,0,Unknown,Mr,1,1,Adult,High,0,1
987,0,3,male,25,0,0,7.7958,S,0,Unknown,Mr,1,1,Adult,Low,0,0
988,1,1,female,76,1,0,78.85,S,1,C,Mrs,2,0,Senior,VeryHigh,1,0
989,0,3,male,29,0,0,7.925,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
990,1,3,female,20,0,0,7.8542,S,0,Unknown,Miss,1,1,Adult,Low,1,0
991,0,3,male,33,0,0,8.05,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
992,1,1,female,43,1,0,55.4417,C,1,C,Mrs,2,0,MiddleAge,VeryHigh,1,1
993,0,2,male,27,1,0,26,S,0,Unknown,Mr,2,0,Adult,High,0,0
994,0,3,male,24,0,0,7.75,Q,0,Unknown,Mr,1,1,Adult,Low,0,2
995,0,3,male,26,0,0,7.775,S,0,Unknown,Mr,1,1,Adult,Low,0,0
996,1,3,female,16,1,1,8.5167,C,0,Unknown,Mrs,3,0,Teen,Medium,1,1
997,0,3,male,28,0,0,22.525,S,0,Unknown,Mr,1,1,Adult,High,0,0
998,0,3,male,21,0,0,7.8208,Q,0,Unknown,Mr,1,1,Adult,Low,0,2
999,0,3,male,24,0,0,7.75,Q,0,Unknown,Mr,1,1,Adult,Low,0,2
1000,0,3,male,24,0,0,8.7125,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1001,0,2,male,18.5,0,0,13,S,1,F,Mr,1,1,Adult,Medium,0,0
1002,0,2,male,41,0,0,15.0458,C,0,Unknown,Mr,1,1,MiddleAge,High,0,1
1003,1,3,female,22,0,0,7.7792,Q,0,Unknown,Miss,1,1,Adult,Low,1,2
1004,1,1,female,36,0,0,31.6792,C,1,A,Miss,1,1,MiddleAge,VeryHigh,1,1
1005,1,3,female,18.5,0,0,7.2833,Q,0,Unknown,Miss,1,1,Adult,Low,1,2
1006,1,1,female,63,1,0,221.7792,S,1,C,Mrs,2,0,Senior,VeryHigh,1,0
1007,0,3,male,18,1,0,14.4542,C,0,Unknown,Mr,2,0,Teen,Medium,0,1
1008,0,3,male,24,0,0,6.4375,C,0,Unknown,Mr,1,1,Adult,Low,0,1
1009,1,3,female,1,1,1,16.7,S,1,G,Miss,3,0,Child,High,1,0
1010,0,1,male,36,0,0,75.2417,C,1,C,Mr,1,1,MiddleAge,VeryHigh,0,1
1011,1,2,female,29,1,0,26,S,0,Unknown,Mrs,2,0,Adult,High,1,0
1012,1,2,female,12,0,0,15.75,S,0,Unknown,Miss,1,1,Child,High,1,0
1013,0,3,male,24,1,0,7.75,Q,0,Unknown,Mr,2,0,Adult,Low,0,2
1014,1,1,female,35,1,0,57.75,C,1,C,Mrs,2,0,Adult,VeryHigh,1,1
1015,0,3,male,28,0,0,7.25,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1016,0,3,male,24,0,0,7.75,Q,0,Unknown,Mr,1,1,Adult,Low,0,2
1017,1,3,female,17,0,1,16.1,S,0,Unknown,Miss,2,0,Teen,High,1,0
1018,0,3,male,22,0,0,7.7958,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1019,1,3,female,22,2,0,23.25,Q,0,Unknown,Miss,3,0,Adult,High,1,2
1020,0,2,male,42,0,0,13,S,0,Unknown,Mr,1,1,MiddleAge,Medium,0,0
1021,0,3,male,24,0,0,8.05,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1022,0,3,male,32,0,0,8.05,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1023,0,1,male,53,0,0,28.5,C,1,C,Rare,1,1,MiddleAge,High,0,1
1024,1,3,female,22,0,4,25.4667,S,0,Unknown,Mrs,5,0,Adult,High,1,0
1025,0,3,male,24,1,0,6.4375,C,0,Unknown,Mr,2,0,Adult,Low,0,1
1026,0,3,male,43,0,0,7.8958,S,0,Unknown,Mr,1,1,MiddleAge,Low,0,0
1027,0,3,male,24,0,0,7.8542,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1028,0,3,male,26.5,0,0,7.225,C,0,Unknown,Mr,1,1,Adult,Low,0,1
1029,0,2,male,26,0,0,13,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1030,1,3,female,23,0,0,8.05,S,0,Unknown,Miss,1,1,Adult,Medium,1,0
1031,0,3,male,40,1,6,46.9,S,0,Unknown,Mr,8,0,MiddleAge,VeryHigh,0,0
1032,1,3,female,10,5,2,46.9,S,0,Unknown,Miss,8,0,Child,VeryHigh,1,0
1033,1,1,female,33,0,0,151.55,S,0,Unknown,Miss,1,1,Adult,VeryHigh,1,0
1034,0,1,male,61,1,3,262.375,C,1,B,Mr,5,0,Senior,VeryHigh,0,1
1035,0,2,male,28,0,0,26,S,0,Unknown,Mr,1,1,Adult,High,0,0
1036,0,1,male,42,0,0,26.55,S,0,Unknown,Mr,1,1,MiddleAge,High,0,0
1037,0,3,male,31,3,0,18,S,0,Unknown,Mr,4,0,Adult,High,0,0
1038,0,1,male,42,0,0,51.8625,S,1,E,Mr,1,1,MiddleAge,VeryHigh,0,0
1039,0,3,male,22,0,0,8.05,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1040,0,1,male,42,0,0,26.55,S,0,Unknown,Mr,1,1,MiddleAge,High,0,0
1041,0,2,male,30,1,1,26,S,0,Unknown,Rare,3,0,Adult,High,0,0
1042,1,1,female,23,0,1,83.1583,C,1,C,Mrs,2,0,Adult,VeryHigh,1,1
1043,0,3,male,24,0,0,7.8958,C,0,Unknown,Mr,1,1,Adult,Low,0,1
1044,0,3,male,60.5,0,0,7.8958,S,0,Unknown,Mr,1,1,Senior,Low,0,0
1045,1,3,female,36,0,2,12.1833,S,0,Unknown,Mrs,3,0,MiddleAge,Medium,1,0
1046,0,3,male,13,4,2,31.3875,S,0,Unknown,Master,7,0,Teen,High,0,0
1047,0,3,male,24,0,0,7.55,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1048,1,1,female,29,0,0,221.7792,S,1,C,Miss,1,1,Adult,VeryHigh,1,0
1049,1,3,female,23,0,0,7.8542,S,0,Unknown,Miss,1,1,Adult,Low,1,0
1050,0,1,male,42,0,0,26.55,S,1,D,Mr,1,1,MiddleAge,High,0,0
1051,1,3,female,26,0,2,13.775,S,0,Unknown,Mrs,3,0,Adult,Medium,1,0
1052,1,3,female,22,0,0,7.7333,Q,0,Unknown,Miss,1,1,Adult,Low,1,2
1053,0,3,male,7,1,1,15.2458,C,0,Unknown,Master,3,0,Child,High,0,1
1054,1,2,female,26,0,0,13.5,S,0,Unknown,Miss,1,1,Adult,Medium,1,0
1055,0,3,male,24,0,0,7,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1056,0,2,male,41,0,0,13,S,0,Unknown,Rare,1,1,MiddleAge,Medium,0,0
1057,1,3,female,26,1,1,22.025,S,0,Unknown,Mrs,3,0,Adult,High,1,0
1058,0,1,male,48,0,0,50.4958,C,1,B,Mr,1,1,MiddleAge,VeryHigh,0,1
1059,0,3,male,18,2,2,34.375,S,0,Unknown,Mr,5,0,Teen,VeryHigh,0,0
1060,1,1,female,41,0,0,27.7208,C,0,Unknown,Mrs,1,1,MiddleAge,High,1,1
1061,1,3,female,22,0,0,8.9625,S,0,Unknown,Miss,1,1,Adult,Medium,1,0
1062,0,3,male,24,0,0,7.55,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1063,0,3,male,27,0,0,7.225,C,0,Unknown,Mr,1,1,Adult,Low,0,1
1064,0,3,male,23,1,0,13.9,S,0,Unknown,Mr,2,0,Adult,Medium,0,0
1065,0,3,male,24,0,0,7.2292,C,0,Unknown,Mr,1,1,Adult,Low,0,1
1066,0,3,male,40,1,5,31.3875,S,0,Unknown,Mr,7,0,MiddleAge,High,0,0
1067,1,2,female,15,0,2,39,S,0,Unknown,Miss,3,0,Teen,VeryHigh,1,0
1068,1,2,female,20,0,0,36.75,S,0,Unknown,Miss,1,1,Adult,VeryHigh,1,0
1069,0,1,male,54,1,0,55.4417,C,1,C,Mr,2,0,MiddleAge,VeryHigh,0,1
1070,1,2,female,36,0,3,39,S,1,F,Mrs,4,0,MiddleAge,VeryHigh,1,0
1071,1,1,female,64,0,2,83.1583,C,1,E,Mrs,3,0,Senior,VeryHigh,1,1
1072,0,2,male,30,0,0,13,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1073,0,1,male,37,1,1,83.1583,C,1,E,Mr,3,0,MiddleAge,VeryHigh,0,1
1074,1,1,female,18,1,0,53.1,S,1,D,Mrs,2,0,Teen,VeryHigh,1,0
1075,0,3,male,24,0,0,7.75,Q,0,Unknown,Mr,1,1,Adult,Low,0,2
1076,1,1,female,27,1,1,247.5208,C,1,B,Mrs,3,0,Adult,VeryHigh,1,1
1077,0,2,male,40,0,0,16,S,0,Unknown,Mr,1,1,MiddleAge,High,0,0
1078,1,2,female,21,0,1,21,S,0,Unknown,Miss,2,0,Adult,High,1,0
1079,0,3,male,17,2,0,8.05,S,0,Unknown,Mr,3,0,Teen,Medium,0,0
1080,1,3,female,22,8,2,69.55,S,0,Unknown,Miss,11,0,Adult,VeryHigh,1,0
1081,0,2,male,40,0,0,13,S,0,Unknown,Mr,1,1,MiddleAge,Medium,0,0
1082,0,2,male,34,1,0,26,S,0,Unknown,Mr,2,0,Adult,High,0,0
1083,0,1,male,42,0,0,26,S,0,Unknown,Mr,1,1,MiddleAge,High,0,0
1084,0,3,male,11.5,1,1,14.5,S,0,Unknown,Master,3,0,Child,High,0,0
1085,0,2,male,61,0,0,12.35,Q,0,Unknown,Mr,1,1,Senior,Medium,0,2
1086,0,2,male,8,0,2,32.5,S,0,Unknown,Master,3,0,Child,VeryHigh,0,0
1087,0,3,male,33,0,0,7.8542,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1088,0,1,male,6,0,2,134.5,C,1,E,Master,3,0,Child,VeryHigh,0,1
1089,1,3,female,18,0,0,7.775,S,0,Unknown,Miss,1,1,Teen,Low,1,0
1090,0,2,male,23,0,0,10.5,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1091,1,3,female,22,0,0,8.1125,S,0,Unknown,Mrs,1,1,Adult,Medium,1,0
1092,1,3,female,22,0,0,15.5,Q,0,Unknown,Miss,1,1,Adult,High,1,2
1093,0,3,male,0.33,0,2,14.4,S,0,Unknown,Master,3,0,Child,Medium,0,0
1094,0,1,male,47,1,0,227.525,C,1,C,Rare,2,0,MiddleAge,VeryHigh,0,1
1095,1,2,female,8,1,1,26,S,0,Unknown,Miss,3,0,Child,High,1,0
1096,0,2,male,25,0,0,10.5,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1097,0,1,male,42,0,0,25.7417,C,0,Unknown,Mr,1,1,MiddleAge,High,0,1
1098,1,3,female,35,0,0,7.75,Q,0,Unknown,Miss,1,1,Adult,Low,1,2
1099,0,2,male,24,0,0,10.5,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1100,1,1,female,33,0,0,27.7208,C,1,A,Miss,1,1,Adult,High,1,1
1101,0,3,male,25,0,0,7.8958,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1102,0,3,male,32,0,0,22.525,S,0,Unknown,Mr,1,1,Adult,High,0,0
1103,0,3,male,24,0,0,7.05,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1104,0,2,male,17,0,0,73.5,S,0,Unknown,Mr,1,1,Teen,VeryHigh,0,0
1105,1,2,female,60,1,0,26,S,0,Unknown,Mrs,2,0,MiddleAge,High,1,0
1106,1,3,female,38,4,2,7.775,S,0,Unknown,Miss,7,0,MiddleAge,Low,1,0
1107,0,1,male,42,0,0,42.5,S,1,B,Mr,1,1,MiddleAge,VeryHigh,0,0
1108,1,3,female,22,0,0,7.8792,Q,0,Unknown,Miss,1,1,Adult,Low,1,2
1109,0,1,male,57,1,1,164.8667,S,0,Unknown,Mr,3,0,MiddleAge,VeryHigh,0,0
1110,1,1,female,50,1,1,211.5,C,1,C,Mrs,3,0,MiddleAge,VeryHigh,1,1
1111,0,3,male,24,0,0,8.05,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1112,1,2,female,30,1,0,13.8583,C,0,Unknown,Miss,2,0,Adult,Medium,1,1
1113,0,3,male,21,0,0,8.05,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1114,1,2,female,22,0,0,10.5,S,1,F,Mrs,1,1,Adult,Medium,1,0
1115,0,3,male,21,0,0,7.7958,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1116,1,1,female,53,0,0,27.4458,C,0,Unknown,Mrs,1,1,MiddleAge,High,1,1
1117,1,3,female,22,0,2,15.2458,C,0,Unknown,Mrs,3,0,Adult,High,1,1
1118,0,3,male,23,0,0,7.7958,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1119,1,3,female,22,0,0,7.75,Q,0,Unknown,Miss,1,1,Adult,Low,1,2
1120,0,3,male,40.5,0,0,15.1,S,0,Unknown,Mr,1,1,MiddleAge,High,0,0
1121,0,2,male,36,0,0,13,S,0,Unknown,Mr,1,1,MiddleAge,Medium,0,0
1122,0,2,male,14,0,0,65,S,0,Unknown,Mr,1,1,Teen,VeryHigh,0,0
1123,1,1,female,21,0,0,26.55,S,0,Unknown,Miss,1,1,Adult,High,1,0
1124,0,3,male,21,1,0,6.4958,S,0,Unknown,Mr,2,0,Adult,Low,0,0
1125,0,3,male,24,0,0,7.8792,Q,0,Unknown,Mr,1,1,Adult,Low,0,2
1126,0,1,male,39,1,0,71.2833,C,1,C,Mr,2,0,MiddleAge,VeryHigh,0,1
1127,0,3,male,20,0,0,7.8542,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1128,0,1,male,64,1,0,75.25,C,1,D,Mr,2,0,Senior,VeryHigh,0,1
1129,0,3,male,20,0,0,7.225,C,0,Unknown,Mr,1,1,Adult,Low,0,1
1130,1,2,female,18,1,1,13,S,0,Unknown,Miss,3,0,Teen,Medium,1,0
1131,1,1,female,48,1,0,106.425,C,1,C,Mrs,2,0,MiddleAge,VeryHigh,1,1
1132,1,1,female,55,0,0,27.7208,C,0,Unknown,Mrs,1,1,MiddleAge,High,1,1
1133,1,2,female,45,0,2,30,S,0,Unknown,Mrs,3,0,MiddleAge,High,1,0
1134,0,1,male,45,1,1,134.5,C,1,E,Mr,3,0,MiddleAge,VeryHigh,0,1
1135,0,3,male,24,0,0,7.8875,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1136,0,3,male,24,1,2,23.45,S,0,Unknown,Master,4,0,Adult,High,0,0
1137,0,1,male,41,1,0,51.8625,S,1,D,Mr,2,0,MiddleAge,VeryHigh,0,0
1138,1,2,female,22,0,0,21,S,0,Unknown,Mrs,1,1,Adult,High,1,0
1139,0,2,male,42,1,1,32.5,S,0,Unknown,Mr,3,0,MiddleAge,VeryHigh,0,0
1140,1,2,female,29,1,0,26,S,0,Unknown,Mrs,2,0,Adult,High,1,0
1141,1,3,female,22,1,0,14.4542,C,0,Unknown,Mrs,2,0,Adult,Medium,1,1
1142,1,2,female,0.92,1,2,27.75,S,0,Unknown,Miss,4,0,Child,High,1,0
1143,0,3,male,20,0,0,7.925,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1144,0,1,male,27,1,0,136.7792,C,1,C,Mr,2,0,Adult,VeryHigh,0,1
1145,0,3,male,24,0,0,9.325,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1146,0,3,male,32.5,0,0,9.5,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1147,0,3,male,24,0,0,7.55,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1148,0,3,male,24,0,0,7.75,Q,0,Unknown,Mr,1,1,Adult,Low,0,2
1149,0,3,male,28,0,0,8.05,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1150,1,2,female,19,0,0,13,S,0,Unknown,Miss,1,1,Adult,Medium,1,0
1151,0,3,male,21,0,0,7.775,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1152,0,3,male,36.5,1,0,17.4,S,0,Unknown,Mr,2,0,MiddleAge,High,0,0
1153,0,3,male,21,0,0,7.8542,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1154,1,2,female,29,0,2,23,S,0,Unknown,Mrs,3,0,Adult,High,1,0
1155,1,3,female,1,1,1,12.1833,S,0,Unknown,Miss,3,0,Child,Medium,1,0
1156,0,2,male,30,0,0,12.7375,C,0,Unknown,Mr,1,1,Adult,Medium,0,1
1157,0,3,male,24,0,0,7.8958,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1158,0,1,male,42,0,0,0,S,0,Unknown,Mr,1,1,MiddleAge,Low,0,0
1159,0,3,male,24,0,0,7.55,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1160,1,3,female,22,0,0,8.05,S,0,Unknown,Miss,1,1,Adult,Medium,1,0
1161,0,3,male,17,0,0,8.6625,S,0,Unknown,Mr,1,1,Teen,Medium,0,0
1162,0,1,male,46,0,0,75.2417,C,1,C,Mr,1,1,MiddleAge,VeryHigh,0,1
1163,0,3,male,24,0,0,7.75,Q,0,Unknown,Mr,1,1,Adult,Low,0,2
1164,1,1,female,26,1,0,136.7792,C,1,C,Mrs,2,0,Adult,VeryHigh,1,1
1165,1,3,female,22,1,0,15.5,Q,0,Unknown,Miss,2,0,Adult,High,1,2
1166,0,3,male,24,0,0,7.225,C,0,Unknown,Mr,1,1,Adult,Low,0,1
1167,1,2,female,20,1,0,26,S,0,Unknown,Miss,2,0,Adult,High,1,0
1168,0,2,male,28,0,0,10.5,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1169,0,2,male,40,1,0,26,S,0,Unknown,Mr,2,0,MiddleAge,High,0,0
1170,0,2,male,30,1,0,21,S,0,Unknown,Mr,2,0,Adult,High,0,0
1171,0,2,male,22,0,0,10.5,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
1172,1,3,female,23,0,0,8.6625,S,0,Unknown,Miss,1,1,Adult,Medium,1,0
1173,0,3,male,0.75,1,1,13.775,S,0,Unknown,Master,3,0,Child,Medium,0,0
1174,1,3,female,22,0,0,7.75,Q,0,Unknown,Miss,1,1,Adult,Low,1,2
1175,1,3,female,9,1,1,15.2458,C,0,Unknown,Miss,3,0,Child,High,1,1
1176,1,3,female,2,1,1,20.2125,S,0,Unknown,Miss,3,0,Child,High,1,0
1177,0,3,male,36,0,0,7.25,S,0,Unknown,Mr,1,1,MiddleAge,Low,0,0
1178,0,3,male,24,0,0,7.25,S,0,Unknown,Mr,1,1,Adult,Low,0,0
1179,0,1,male,24,1,0,82.2667,S,1,B,Mr,2,0,Adult,VeryHigh,0,0
